site;sloc;walk;date;time;floden;gpsnorth;gpssouth;temp;hum;win;vegspecies;vegfamily;butterfly;occ
Argyle Square;1;1;1/11/2017;15:22:00;0.23;-37.8022;144.9664;25.1;49.4;1.41;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Argyle Square;1;2;2/11/2017;12:23:00;4.44;-37.8026;144.9664;30.3;45.4;2.1;Lamiaceae 1;Lamiaceae;Little blue butterfly group;1
Argyle Square;1;2;2/11/2017;12:09:00;2.75;-37.8026;144.9662;29.2;49.1;0.8;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Argyle Square;1;3;1/15/2017;14:27:00;1.5;-37.8025;144.9663;37.6;22.5;3;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Argyle Square;1;3;1/15/2017;12:56:00;8;-37.8026;144.9662;26.5;43;0.8;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;1;2;3/2/2017;14:24:00;0.31;-37.8073;144.9723;29.5;54.5;0.8;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;2;1;1/31/2017;15:32:00;20;-37.8052;144.9706;34;26.6;0.9;Salvia sp.;Lamiaceae;Little blue butterfly group;1
Carlton Gardens South;2;1;3/2/2017;16:13:00;0.12;-37.8054;144.9703;32.1;51.6;1.6;Senecio sp. ;Asteraceae;Little blue butterfly group;1
Carlton Gardens South;2;1;1/31/2017;15:29:00;3.32;-37.8052;144.9706;34;26.6;0.9;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;9:48:00;0.11;-37.8045;144.97;25.5;40.9;1.9;Asteraceae 1;Asteraceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;12:42:00;0.06;-37.8044;144.9704;27.8;71.8;0;Asteraceae 1;Asteraceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;14:16:00;2.67;-37.8044;144.9709;28.5;38.5;2;Ceratostigma sp.;Plumbaginaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;9:25:00;140;-37.8047;144.9699;25.7;39.1;1.4;Lavandula sp.;Lamiaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;11:09:00;30;-37.8043;144.9699;27.5;40.5;0.8;Stachys byzantina;Lamiaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;11:06:00;0.2;-37.8043;144.9699;27.3;44.8;2.1;Tanacetum vulgare;Asteraceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;11:31:00;0.75;-37.8042;144.9697;29.1;35.4;0.8;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;12:08:00;2;-37.8043;144.97;28.9;35.3;0.5;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;14:56:00;3.11;-37.8045;144.9702;28.1;41.1;1.4;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;3;2;3/1/2017;15:35:00;0.03;-37.8061;144.9697;32.9;34.3;0.6;Limanarium perezii;Plumbaginaceae;Little blue butterfly group;1
