"site";"interaction_type";"metric";"value"
"Argyle Square";"Pollinator";"richness";NA
"Argyle Square";"Pollinator";"connectance";NA
"Argyle Square";"Pollinator";"link_density";NA
"Argyle Square";"Pollinator";"degree_heterogeneity";NA
"Argyle Square";"Pollinator";"modularity_eigen";NA
"Argyle Square";"Pollinator";"modularity_betweenness";NA
"Argyle Square";"Pollinator";"nestedness";NA
"Argyle Square";"Pollinator";"centrality_degree";NA
"Argyle Square";"Pollinator";"centrality_betweenness";NA
"Argyle Square";"Pollinator";"centrality_eigen";NA
"Argyle Square";"Pollinator";"interaction_overlap";NA
"Argyle Square";"Herbivore";"richness";30
"Argyle Square";"Herbivore";"connectance";0,24
"Argyle Square";"Herbivore";"link_density";3,2
"Argyle Square";"Herbivore";"degree_heterogeneity";3,05244125514614
"Argyle Square";"Herbivore";"modularity_eigen";0,247178819444444
"Argyle Square";"Herbivore";"modularity_betweenness";0,121961805555556
"Argyle Square";"Herbivore";"nestedness";34,3789260385005
"Argyle Square";"Herbivore";"centrality_degree";0,103448275862069
"Argyle Square";"Herbivore";"centrality_betweenness";0,235959362311827
"Argyle Square";"Herbivore";"centrality_eigen";0,663554151610298
"Argyle Square";"Herbivore";"interaction_overlap";0,467688765482883
"Canning/Neil Street Reserve";"Pollinator";"richness";NA
"Canning/Neil Street Reserve";"Pollinator";"connectance";NA
"Canning/Neil Street Reserve";"Pollinator";"link_density";NA
"Canning/Neil Street Reserve";"Pollinator";"degree_heterogeneity";NA
"Canning/Neil Street Reserve";"Pollinator";"modularity_eigen";NA
"Canning/Neil Street Reserve";"Pollinator";"modularity_betweenness";NA
"Canning/Neil Street Reserve";"Pollinator";"nestedness";NA
"Canning/Neil Street Reserve";"Pollinator";"centrality_degree";NA
"Canning/Neil Street Reserve";"Pollinator";"centrality_betweenness";NA
"Canning/Neil Street Reserve";"Pollinator";"centrality_eigen";NA
"Canning/Neil Street Reserve";"Pollinator";"interaction_overlap";NA
"Canning/Neil Street Reserve";"Herbivore";"richness";8
"Canning/Neil Street Reserve";"Herbivore";"connectance";0,5
"Canning/Neil Street Reserve";"Herbivore";"link_density";1,5
"Canning/Neil Street Reserve";"Herbivore";"degree_heterogeneity";1,81430751960713
"Canning/Neil Street Reserve";"Herbivore";"modularity_eigen";0,277777777777778
"Canning/Neil Street Reserve";"Herbivore";"modularity_betweenness";0,277777777777778
"Canning/Neil Street Reserve";"Herbivore";"nestedness";0
"Canning/Neil Street Reserve";"Herbivore";"centrality_degree";0,285714285714286
"Canning/Neil Street Reserve";"Herbivore";"centrality_betweenness";0,476190476190476
"Canning/Neil Street Reserve";"Herbivore";"centrality_eigen";0,793988670416702
"Canning/Neil Street Reserve";"Herbivore";"interaction_overlap";0,5
"Carlton Gardens South";"Pollinator";"richness";12
"Carlton Gardens South";"Pollinator";"connectance";0,28125
"Carlton Gardens South";"Pollinator";"link_density";1,5
"Carlton Gardens South";"Pollinator";"degree_heterogeneity";2,21610224809126
"Carlton Gardens South";"Pollinator";"modularity_eigen";0,493827160493827
"Carlton Gardens South";"Pollinator";"modularity_betweenness";0,493827160493827
"Carlton Gardens South";"Pollinator";"nestedness";0
"Carlton Gardens South";"Pollinator";"centrality_degree";0,223140495867769
"Carlton Gardens South";"Pollinator";"centrality_betweenness";0,271074380165289
"Carlton Gardens South";"Pollinator";"centrality_eigen";0,855051025721682
"Carlton Gardens South";"Pollinator";"interaction_overlap";0,59375
"Carlton Gardens South";"Herbivore";"richness";56
"Carlton Gardens South";"Herbivore";"connectance";0,121657754010695
"Carlton Gardens South";"Herbivore";"link_density";3,25
"Carlton Gardens South";"Herbivore";"degree_heterogeneity";3,57727000744972
"Carlton Gardens South";"Herbivore";"modularity_eigen";0,336613935515034
"Carlton Gardens South";"Herbivore";"modularity_betweenness";0,0861007124743389
"Carlton Gardens South";"Herbivore";"nestedness";22,1107904441238
"Carlton Gardens South";"Herbivore";"centrality_degree";0,164297520661157
"Carlton Gardens South";"Herbivore";"centrality_betweenness";0,498669099184227
"Carlton Gardens South";"Herbivore";"centrality_eigen";0,823501257594359
"Carlton Gardens South";"Herbivore";"interaction_overlap";0,4516792665553
"Fitzroy-Treasury Gardens";"Pollinator";"richness";12
"Fitzroy-Treasury Gardens";"Pollinator";"connectance";0,333333333333333
"Fitzroy-Treasury Gardens";"Pollinator";"link_density";1,5
"Fitzroy-Treasury Gardens";"Pollinator";"degree_heterogeneity";2,26020362299756
"Fitzroy-Treasury Gardens";"Pollinator";"modularity_eigen";0,567901234567901
"Fitzroy-Treasury Gardens";"Pollinator";"modularity_betweenness";0,567901234567901
"Fitzroy-Treasury Gardens";"Pollinator";"nestedness";0
"Fitzroy-Treasury Gardens";"Pollinator";"centrality_degree";0,173553719008264
"Fitzroy-Treasury Gardens";"Pollinator";"centrality_betweenness";0,176859504132231
"Fitzroy-Treasury Gardens";"Pollinator";"centrality_eigen";0,876393202250021
"Fitzroy-Treasury Gardens";"Pollinator";"interaction_overlap";0,432098765432099
"Fitzroy-Treasury Gardens";"Herbivore";"richness";85
"Fitzroy-Treasury Gardens";"Herbivore";"connectance";0,0968858131487889
"Fitzroy-Treasury Gardens";"Herbivore";"link_density";3,95294117647059
"Fitzroy-Treasury Gardens";"Herbivore";"degree_heterogeneity";3,91894955583777
"Fitzroy-Treasury Gardens";"Herbivore";"modularity_eigen";0,339764030612245
"Fitzroy-Treasury Gardens";"Herbivore";"modularity_betweenness";0,0706845238095238
"Fitzroy-Treasury Gardens";"Herbivore";"nestedness";18,665485802164
"Fitzroy-Treasury Gardens";"Herbivore";"centrality_degree";0,156887755102041
"Fitzroy-Treasury Gardens";"Herbivore";"centrality_betweenness";0,395341330412073
"Fitzroy-Treasury Gardens";"Herbivore";"centrality_eigen";0,833878156537312
"Fitzroy-Treasury Gardens";"Herbivore";"interaction_overlap";0,433704208840796
"Gardiner Reserve";"Pollinator";"richness";NA
"Gardiner Reserve";"Pollinator";"connectance";NA
"Gardiner Reserve";"Pollinator";"link_density";NA
"Gardiner Reserve";"Pollinator";"degree_heterogeneity";NA
"Gardiner Reserve";"Pollinator";"modularity_eigen";NA
"Gardiner Reserve";"Pollinator";"modularity_betweenness";NA
"Gardiner Reserve";"Pollinator";"nestedness";NA
"Gardiner Reserve";"Pollinator";"centrality_degree";NA
"Gardiner Reserve";"Pollinator";"centrality_betweenness";NA
"Gardiner Reserve";"Pollinator";"centrality_eigen";NA
