"sp_1";"site_1";"sp_2";"site_2";"interaction_type";"apparent_interaction_value"
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Herbivory";605
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia acinacea";"Royal Park";"Herbivory";95,8666838622855
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia acinacea";"Westgate Park";"Herbivory";9,9395648760794
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia cognata";"Fitzroy-Treasury Gardens";"Herbivory";494,166666666667
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia implexa";"Royal Park";"Herbivory";39,6238701356959
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia mearnsii";"Royal Park";"Herbivory";108,228305483907
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia mearnsii";"Westgate Park";"Herbivory";15,0934133303428
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia melanoxylon";"Westgate Park";"Herbivory";9,9395648760794
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia verniciflua";"Royal Park";"Herbivory";134,644218907704
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acanthus mollis";"Carlton Gardens South";"Herbivory";157,560559729854
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acanthus mollis";"Fitzroy-Treasury Gardens";"Herbivory";165,654761904762
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Carlton Gardens South";"Herbivory";119,334660386528
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Fitzroy-Treasury Gardens";"Herbivory";455
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Allocasuarina verticillata";"Royal Park";"Herbivory";39,6238701356959
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Aloysia citrodora";"Carlton Gardens South";"Herbivory";41,1365008161689
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Angophora costata";"Garrard Street Reserve";"Herbivory";5,52225711188367
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Argyranthemum sp.";"Carlton Gardens South";"Herbivory";126,902224215917
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Argyranthemum sp.";"Fitzroy-Treasury Gardens";"Herbivory";292,5
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Artemisia arborescens";"Fitzroy-Treasury Gardens";"Herbivory";200
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Artemisia arborescens";"State Library of Victoria";"Herbivory";47,0870173077642
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Asparagus aethiopicus";"Fitzroy-Treasury Gardens";"Herbivory";316,666666666667
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Aucuba japonica";"Carlton Gardens South";"Herbivory";157,560559729854
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Aucuba japonica";"Fitzroy-Treasury Gardens";"Herbivory";66,6666666666667
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Avena barbata";"Royal Park";"Herbivory";190,040697544017
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Bursaria spinosa";"Royal Park";"Herbivory";79,1622518784345
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Bursaria spinosa";"Westgate Park";"Herbivory";9,12967440469515
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Buxus sp.";"Argyle Square";"Herbivory";110,514993832006
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Buxus sp.";"Princes Park";"Herbivory";95,1216776942918
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Calodendrum capense ";"Royal Park";"Herbivory";158,495480542783
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Camellia sp.";"Fitzroy-Treasury Gardens";"Herbivory";455
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Canna generalis";"Carlton Gardens South";"Herbivory";152,515517176928
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Canna generalis";"Fitzroy-Treasury Gardens";"Herbivory";200
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Canna indica";"Carlton Gardens South";"Herbivory";243,326283129603
